,ind,id,timestp,url,curr_price
120,121,3,2021-10-18 01:48:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
121,122,1,2021-10-18 01:58:45,https://www.amazon.com/dp/B0919XS2W7,49.0
122,123,2,2021-10-18 01:58:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
123,124,3,2021-10-18 01:58:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
124,125,1,2021-10-18 02:08:45,https://www.amazon.com/dp/B0919XS2W7,49.0
125,126,2,2021-10-18 02:08:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
126,127,3,2021-10-18 02:08:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
127,128,1,2021-10-18 02:18:47,https://www.amazon.com/dp/B0919XS2W7,49.0
128,129,2,2021-10-18 02:18:47,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
129,130,3,2021-10-18 02:18:47,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
130,131,1,2021-10-18 02:28:45,https://www.amazon.com/dp/B0919XS2W7,49.0
131,132,2,2021-10-18 02:28:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
132,133,3,2021-10-18 02:28:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
